1493524227195 1.850041 KBitsps 96 175 54.857143 (drop;total;drop-pct)
1493524326604 17.457035 KBitsps 0 893 0.000000 (drop;total;drop-pct)
1493524338175 13.790121 KBitsps 0 719 0.000000 (drop;total;drop-pct)
1493524353512 12.050167 KBitsps 2 646 0.309598 (drop;total;drop-pct)
1493524364578 16.420361 KBitsps 0 893 0.000000 (drop;total;drop-pct)
1493524375654 16.140716 KBitsps 0 893 0.000000 (drop;total;drop-pct)
1493524386720 15.870935 KBitsps 0 893 0.000000 (drop;total;drop-pct)
1493524399497 10.461505 KBitsps 1 601 0.166389 (drop;total;drop-pct)
1493524414805 12.411772 KBitsps 2 730 0.273973 (drop;total;drop-pct)
1493524486602 13.790366 KBitsps 0 893 0.000000 (drop;total;drop-pct)
1493524546586 6.227473 KBitsps 2 437 0.457666 (drop;total;drop-pct)
1493524708684 10.676160 KBitsps 0 893 0.000000 (drop;total;drop-pct)
